timestamp,time,open,high,low,close
2025-12-16 17:00:00+0900,1765872000,154.842,154.977,154.816,154.886
2025-12-16 19:00:00+0900,1765879200,154.885,154.939,154.77,154.835
2025-12-16 21:00:00+0900,1765886400,154.835,154.904,154.775,154.817
2025-12-16 23:00:00+0900,1765893600,154.811,154.868,154.39,154.711
2025-12-17 01:00:00+0900,1765900800,154.711,154.997,154.463,154.776
2025-12-17 03:00:00+0900,1765908000,154.777,154.903,154.568,154.677
2025-12-17 05:00:00+0900,1765915200,154.678,154.913,154.6,154.668
2025-12-17 07:00:00+0900,1765922400,154.668,154.824,154.566,154.7
2025-12-17 09:00:00+0900,1765929600,154.7,154.81,154.671,154.771
2025-12-17 11:00:00+0900,1765936800,154.77,154.871,154.509,154.676
2025-12-17 13:00:00+0900,1765944000,154.676,155.028,154.676,154.887
2025-12-17 15:00:00+0900,1765951200,154.887,155.171,154.874,155.148
2025-12-17 17:00:00+0900,1765958400,155.148,155.566,155.124,155.499
2025-12-17 19:00:00+0900,1765965600,155.501,155.596,155.424,155.529
2025-12-17 21:00:00+0900,1765972800,155.529,155.594,155.439,155.541
2025-12-17 23:00:00+0900,1765980000,155.542,155.638,155.382,155.434
2025-12-18 01:00:00+0900,1765987200,155.435,155.629,155.347,155.403
2025-12-18 03:00:00+0900,1765994400,155.402,155.61,155.382,155.529
2025-12-18 05:00:00+0900,1766001600,155.529,155.689,155.495,155.643
2025-12-18 07:00:00+0900,1766008800,155.643,155.74,155.622,155.669
2025-12-18 09:00:00+0900,1766016000,155.669,155.669,155.469,155.489
2025-12-18 11:00:00+0900,1766023200,155.489,155.773,155.419,155.771
2025-12-18 13:00:00+0900,1766030400,155.771,155.805,155.66,155.759
2025-12-18 15:00:00+0900,1766037600,155.76,155.883,155.697,155.807
2025-12-18 17:00:00+0900,1766044800,155.806,155.952,155.764,155.923
2025-12-18 19:00:00+0900,1766052000,155.923,155.951,155.798,155.931
2025-12-18 21:00:00+0900,1766059200,155.929,155.972,155.719,155.787
2025-12-18 23:00:00+0900,1766066400,155.787,155.86,155.311,155.59
2025-12-19 01:00:00+0900,1766073600,155.59,155.694,155.28,155.519
2025-12-19 03:00:00+0900,1766080800,155.519,155.686,155.363,155.638
2025-12-19 05:00:00+0900,1766088000,155.638,155.709,155.493,155.516
2025-12-19 07:00:00+0900,1766095200,155.516,155.622,155.501,155.521
2025-12-19 09:00:00+0900,1766102400,155.521,155.643,155.432,155.572
2025-12-19 11:00:00+0900,1766109600,155.576,155.791,155.564,155.738
2025-12-19 13:00:00+0900,1766116800,155.738,156.17,155.568,155.872
2025-12-19 15:00:00+0900,1766124000,155.872,156.086,155.733,155.995
2025-12-19 17:00:00+0900,1766131200,155.995,156.741,155.846,156.732
2025-12-19 19:00:00+0900,1766138400,156.73,157.209,156.718,157.198
2025-12-19 21:00:00+0900,1766145600,157.198,157.398,157.131,157.315
2025-12-19 23:00:00+0900,1766152800,157.317,157.378,157.183,157.324
2025-12-20 01:00:00+0900,1766160000,157.324,157.489,156.929,157.47
2025-12-20 03:00:00+0900,1766167200,157.47,157.667,157.403,157.438
2025-12-20 05:00:00+0900,1766174400,157.439,157.587,157.399,157.526
2025-12-20 07:00:00+0900,1766181600,157.527,157.761,157.475,157.723
2025-12-22 09:00:00+0900,1766361600,157.667,157.704,157.384,157.606
2025-12-22 11:00:00+0900,1766368800,157.606,157.657,157.249,157.291
2025-12-22 13:00:00+0900,1766376000,157.291,157.469,157.226,157.332
2025-12-22 15:00:00+0900,1766383200,157.332,157.389,157.26,157.36
2025-12-22 17:00:00+0900,1766390400,157.36,157.562,157.264,157.493
2025-12-22 19:00:00+0900,1766397600,157.492,157.569,157.371,157.457
2025-12-22 21:00:00+0900,1766404800,157.458,157.464,157.334,157.41
2025-12-22 23:00:00+0900,1766412000,157.41,157.429,156.877,157.185
2025-12-23 01:00:00+0900,1766419200,157.185,157.221,156.903,156.975
2025-12-23 03:00:00+0900,1766426400,156.974,157.043,156.702,156.846
2025-12-23 05:00:00+0900,1766433600,156.846,157.03,156.846,156.899
2025-12-23 07:00:00+0900,1766440800,156.9,157.034,156.898,157.031
2025-12-23 09:00:00+0900,1766448000,157.021,157.024,156.77,156.915
2025-12-23 11:00:00+0900,1766455200,156.913,156.927,156.419,156.459
2025-12-23 13:00:00+0900,1766462400,156.459,156.481,156.187,156.187
2025-12-23 15:00:00+0900,1766469600,156.187,156.187,155.909,156.01
2025-12-23 17:00:00+0900,1766476800,156.01,156.187,155.949,156.073
2025-12-23 19:00:00+0900,1766484000,156.073,156.114,155.65,155.965
2025-12-23 21:00:00+0900,1766491200,155.965,156.042,155.864,155.969
2025-12-23 23:00:00+0900,1766498400,155.969,156.365,155.872,156.337
2025-12-24 01:00:00+0900,1766505600,156.337,156.541,156.205,156.389
2025-12-24 03:00:00+0900,1766512800,156.389,156.433,156.25,156.292
2025-12-24 05:00:00+0900,1766520000,156.293,156.339,156.176,156.19
2025-12-24 07:00:00+0900,1766527200,156.193,156.306,156.133,156.159
2025-12-24 09:00:00+0900,1766534400,156.136,156.28,156.091,156.17
2025-12-24 11:00:00+0900,1766541600,156.169,156.276,155.6,155.654
2025-12-24 13:00:00+0900,1766548800,155.654,155.986,155.553,155.975
2025-12-24 15:00:00+0900,1766556000,155.976,156.061,155.742,155.797
2025-12-24 17:00:00+0900,1766563200,155.797,155.869,155.66,155.827
2025-12-24 19:00:00+0900,1766570400,155.827,155.968,155.685,155.833
2025-12-24 21:00:00+0900,1766577600,155.834,155.969,155.818,155.926
2025-12-24 23:00:00+0900,1766584800,155.927,156.074,155.877,156.009
2025-12-25 01:00:00+0900,1766592000,156.014,156.036,155.676,155.815
2025-12-25 03:00:00+0900,1766599200,155.815,156.026,155.752,155.969
2025-12-25 05:00:00+0900,1766606400,155.969,156.019,155.778,155.84
2025-12-25 07:00:00+0900,1766613600,155.841,155.954,155.785,155.904
2025-12-26 09:00:00+0900,1766707200,155.828,156.129,155.748,156.101
2025-12-26 11:00:00+0900,1766714400,156.102,156.483,156.102,156.279
