timestamp,time,open,high,low,close,spread
2025-10-24 20:15:00+0900,1761304500,152.867,153.019,152.864,152.981,0.004
2025-10-24 20:30:00+0900,1761305400,152.982,153.005,152.908,152.939,0.004
2025-10-24 20:45:00+0900,1761306300,152.94,152.989,152.928,152.949,0.004
2025-10-24 21:00:00+0900,1761307200,152.948,152.993,152.917,152.923,0.004
2025-10-24 21:15:00+0900,1761308100,152.923,152.985,152.907,152.953,0.004
2025-10-24 21:30:00+0900,1761309000,152.953,152.957,152.9,152.916,0.004
2025-10-24 21:45:00+0900,1761309900,152.916,152.961,152.903,152.958,0.004
2025-10-24 22:00:00+0900,1761310800,152.958,152.981,152.904,152.938,0.004
2025-10-24 22:15:00+0900,1761311700,152.938,152.963,152.929,152.947,0.004
2025-10-24 22:30:00+0900,1761312600,152.947,152.969,152.918,152.933,0.004
2025-10-24 22:45:00+0900,1761313500,152.933,152.982,152.93,152.977,0.004
2025-10-24 23:00:00+0900,1761314400,152.977,152.991,152.931,152.954,0.004
2025-10-24 23:15:00+0900,1761315300,152.953,152.968,152.909,152.945,0.004
2025-10-24 23:30:00+0900,1761316200,152.948,152.961,152.931,152.957,0.004
2025-10-24 23:45:00+0900,1761317100,152.957,152.982,152.934,152.934,0.004
2025-10-25 00:00:00+0900,1761318000,152.931,152.942,152.841,152.886,0.004
2025-10-25 00:15:00+0900,1761318900,152.886,152.96,152.851,152.851,0.004
2025-10-25 00:30:00+0900,1761319800,152.838,152.838,152.068,152.422,0.004
2025-10-25 00:45:00+0900,1761320700,152.422,152.692,152.403,152.67,0.004
2025-10-25 01:00:00+0900,1761321600,152.67,152.758,152.594,152.737,0.004
2025-10-25 01:15:00+0900,1761322500,152.737,152.822,152.725,152.771,0.004
2025-10-25 01:30:00+0900,1761323400,152.771,152.865,152.696,152.701,0.004
2025-10-25 01:45:00+0900,1761324300,152.701,153.018,152.701,152.815,0.004
2025-10-25 02:00:00+0900,1761325200,152.815,152.902,152.698,152.739,0.004
2025-10-25 02:15:00+0900,1761326100,152.739,152.786,152.698,152.76,0.004
2025-10-25 02:30:00+0900,1761327000,152.76,152.844,152.746,152.784,0.004
2025-10-25 02:45:00+0900,1761327900,152.784,152.871,152.748,152.767,0.004
2025-10-25 03:00:00+0900,1761328800,152.769,152.8,152.705,152.762,0.004
2025-10-25 03:15:00+0900,1761329700,152.762,152.799,152.745,152.764,0.004
2025-10-25 03:30:00+0900,1761330600,152.764,152.872,152.756,152.821,0.004
2025-10-25 03:45:00+0900,1761331500,152.82,152.879,152.797,152.819,0.004
2025-10-25 04:00:00+0900,1761332400,152.82,152.839,152.784,152.798,0.004
2025-10-25 04:15:00+0900,1761333300,152.799,152.841,152.794,152.825,0.004
2025-10-25 04:30:00+0900,1761334200,152.822,152.873,152.81,152.846,0.004
2025-10-25 04:45:00+0900,1761335100,152.845,152.853,152.81,152.839,0.004
2025-10-25 05:00:00+0900,1761336000,152.838,152.838,152.747,152.775,0.004
2025-10-25 05:15:00+0900,1761336900,152.774,152.82,152.771,152.801,0.004
2025-10-25 05:30:00+0900,1761337800,152.802,152.82,152.775,152.793,0.004
2025-10-25 05:45:00+0900,1761338700,152.793,152.816,152.782,152.809,0.004
2025-10-25 06:00:00+0900,1761339600,152.805,152.845,152.795,152.845,0.004
2025-10-25 06:15:00+0900,1761340500,152.844,152.869,152.831,152.865,0.004
2025-10-25 06:30:00+0900,1761341400,152.867,152.873,152.843,152.868,0.004
2025-10-25 06:45:00+0900,1761342300,152.868,152.889,152.842,152.862,0.004
2025-10-25 07:00:00+0900,1761343200,152.862,152.862,152.815,152.817,0.005
2025-10-25 07:15:00+0900,1761344100,152.816,152.856,152.814,152.855,0.005
2025-10-25 07:30:00+0900,1761345000,152.856,152.893,152.849,152.851,0.005
2025-10-25 07:45:00+0900,1761345900,152.851,152.863,152.801,152.827,0.005
2025-10-25 08:00:00+0900,1761346800,152.827,152.832,152.768,152.769,0.005
2025-10-25 08:15:00+0900,1761347700,152.77,152.793,152.755,152.791,0.005
2025-10-25 08:30:00+0900,1761348600,152.791,152.878,152.791,152.865,0.005
2025-10-25 08:45:00+0900,1761349500,152.865,152.879,152.74,152.74,0.009000000000000001
2025-10-27 09:00:00+0900,1761523200,152.804,152.863,152.792,152.835,0.052000000000000005
2025-10-27 09:15:00+0900,1761524100,152.835,152.836,152.799,152.799,0.066
2025-10-27 09:30:00+0900,1761525000,152.805,152.896,152.785,152.805,0.005
2025-10-27 09:45:00+0900,1761525900,152.8,153.046,152.8,153.03,0.027
2025-10-27 10:00:00+0900,1761526800,153.03,153.123,152.932,153.052,0.009000000000000001
2025-10-27 10:15:00+0900,1761527700,153.048,153.099,153.003,153.06,0.016
2025-10-27 10:30:00+0900,1761528600,153.06,153.11,152.98,153.044,0.021
2025-10-27 10:45:00+0900,1761529500,153.054,153.105,153.05,153.071,0.005
2025-10-27 11:00:00+0900,1761530400,153.069,153.161,153.05,153.15,0.005
2025-10-27 11:15:00+0900,1761531300,153.15,153.176,153.114,153.127,0.005
2025-10-27 11:30:00+0900,1761532200,153.132,153.137,153.016,153.061,0.005
2025-10-27 11:45:00+0900,1761533100,153.062,153.095,153.013,153.07,0.005
2025-10-27 12:00:00+0900,1761534000,153.07,153.151,152.918,153.139,0.004
2025-10-27 12:15:00+0900,1761534900,153.139,153.139,153.021,153.035,0.004
2025-10-27 12:30:00+0900,1761535800,153.034,153.05,152.919,152.926,0.004
2025-10-27 12:45:00+0900,1761536700,152.926,152.945,152.824,152.888,0.004
2025-10-27 13:00:00+0900,1761537600,152.888,152.99,152.726,152.733,0.004
2025-10-27 13:15:00+0900,1761538500,152.733,152.795,152.648,152.725,0.004
2025-10-27 13:30:00+0900,1761539400,152.725,152.798,152.709,152.778,0.004
2025-10-27 13:45:00+0900,1761540300,152.778,152.835,152.754,152.833,0.004
2025-10-27 14:00:00+0900,1761541200,152.836,152.957,152.823,152.942,0.004
2025-10-27 14:15:00+0900,1761542100,152.943,153.012,152.93,152.974,0.004
2025-10-27 14:30:00+0900,1761543000,152.976,153.0,152.947,152.963,0.004
2025-10-27 14:45:00+0900,1761543900,152.963,152.995,152.959,152.979,0.004
2025-10-27 15:00:00+0900,1761544800,152.978,153.003,152.958,152.977,0.004
2025-10-27 15:15:00+0900,1761545700,152.977,152.998,152.951,152.963,0.004
2025-10-27 15:30:00+0900,1761546600,152.963,153.003,152.96,153.002,0.004
2025-10-27 15:45:00+0900,1761547500,153.002,153.047,152.982,153.042,0.004
2025-10-27 16:00:00+0900,1761548400,153.043,153.123,153.043,153.083,0.004
2025-10-27 16:15:00+0900,1761549300,153.083,153.091,153.031,153.059,0.004
2025-10-27 16:30:00+0900,1761550200,153.059,153.162,153.053,153.1,0.004
2025-10-27 16:45:00+0900,1761551100,153.1,153.162,153.1,153.137,0.004
2025-10-27 17:00:00+0900,1761552000,153.137,153.241,153.123,153.228,0.004
2025-10-27 17:15:00+0900,1761552900,153.227,153.256,153.212,153.23,0.004
2025-10-27 17:30:00+0900,1761553800,153.229,153.245,153.147,153.17,0.004
2025-10-27 17:45:00+0900,1761554700,153.171,153.184,153.113,153.128,0.004
2025-10-27 18:00:00+0900,1761555600,153.125,153.137,153.03,153.054,0.004
2025-10-27 18:15:00+0900,1761556500,153.054,153.086,152.971,153.003,0.004
2025-10-27 18:30:00+0900,1761557400,153.006,153.034,152.831,152.922,0.004
2025-10-27 18:45:00+0900,1761558300,152.922,153.046,152.907,152.977,0.004
2025-10-27 19:00:00+0900,1761559200,152.977,152.997,152.867,152.913,0.004
2025-10-27 19:15:00+0900,1761560100,152.913,153.029,152.883,153.009,0.004
2025-10-27 19:30:00+0900,1761561000,153.009,153.026,152.86,152.936,0.004
2025-10-27 19:45:00+0900,1761561900,152.936,153.025,152.918,153.014,0.004
2025-10-27 20:00:00+0900,1761562800,153.015,153.076,152.9,152.92,0.004
2025-10-27 20:15:00+0900,1761563700,152.92,152.951,152.885,152.917,0.004
2025-10-27 20:30:00+0900,1761564600,152.916,152.921,152.744,152.78,0.004
2025-10-27 20:45:00+0900,1761565500,152.779,152.843,152.741,152.816,0.004
2025-10-27 21:00:00+0900,1761566400,152.818,152.821,152.758,152.784,0.004
2025-10-27 21:15:00+0900,1761567300,152.783,152.809,152.759,152.778,0.004
2025-10-27 21:30:00+0900,1761568200,152.779,152.796,152.714,152.714,0.004
2025-10-27 21:45:00+0900,1761569100,152.714,152.752,152.698,152.751,0.004
2025-10-27 22:00:00+0900,1761570000,152.752,152.787,152.736,152.76,0.004
